459/100/77/c|Bacardi|https://i.imgur.com/HhGVahf.gif|cCS,cCA
460/98/76/c|Bacardi||
469/100/42/c|Grimmy||
470/97/42/c|Grimmy||
482/99/41|Bacardi|https://i.imgur.com/St4do4Q.gif|CS,CA
495/100/39|Community|https://i.imgur.com/klHRNuy.mp4|
496/100/37|Bacardi||
520/98/50|Bacardi||
521/100/9/c|Theophiphile|https://i.imgur.com/edgFc3h.gifv|cAC
584/91/74|Grimmy||
591/86/74|Grimmy||
599/86/56|Grimmy||
612/81/53|Grimmy||
612/84/9|Grimmy||AC
656/75/73|Grimmy||
664/67/13|Grimmy||
687/65/11|Grimmy||
946/65/9|xtvb||
1016/57/9|slabdrill||
1761/37/9|Grimmy||
3677/30/9|Grimmy||
3895/24/271|Grimmy||
3906/23/271|Grimmy||
4172/26/9|Grimmy||
7187/22/753|Grimmy|https://i.imgur.com/3CM048S.mp4|SC,SA,cSC,cSA
7189/24/9|Grimmy|https://www.youtube.com/watch?v=koWhwc8XFyw|AS,cAS
